27.02;28.02;01.03;02.03;03.03;
06.03;07.03;08.03;09.03;10.03;
13.03;14.03;15.03;16.03;17.03;
20.03;21.03;22.03;23.03;24.03;
27.03;28.03;29.03;30.03;31.03;
03.04;04.04;05.04;06.04;07.04;
10.04;11.04;12.04;13.04;14.04;
17.04;18.04;19.04;20.04;21.04;
24.04;25.04;26.04;27.04;28.04;
01.05;02.05;03.05;04.05;05.05;
08.05;09.05;10.05;11.05;12.05;
15.05;16.05;17.05;18.05;19.05;
22.05;23.05;24.05;25.05;26.05;
29.05;30.05;31.05;01.06;02.06;
05.06;06.06;07.06;08.06;09.06;
12.06;13.06;14.06;15.06;16.06;
19.06;20.06;21.06;22.06;23.06;
